company_name,rating,company_type,company_headquarters,company_age,no_of_employees,other_details
TCS,3.9,Public,"Mumbai,Maharashtra + 216 more",54 years old,54 years old,"BPO / Call Centre, IT Services & Consulting, Fortune500, Forbes Global 2000, Public, Mumbai,Maharashtra"
Accenture,4.0,Public,"Dublin,Dublin + 124 more",33 years old,33 years old,"IT Services & Consulting, Software Product, Forbes Global 2000, Public"
Cognizant,3.9,Private,"Teaneck,New Jersey + 76 more",28 years old,28 years old,"IT Services & Consulting, Forbes Global 2000"
ICICI Bank,4.0,Public,"Mumbai,Maharashtra + 918 more",28 years old,28 years old,"Chemicals / Agri Inputs, Financial Services, Manufacturing, Banking, Fortune500, Forbes Global 2000, Public, Mumbai,Maharashtra"
HDFC Bank,4.0,Public,"Mumbai,Maharashtra + 1002 more",28 years old,28 years old,"Financial Services, Banking, Insurance, Fortune500, Forbes Global 2000, Public, Mumbai,Maharashtra"
Wipro,3.8,Public,"Bangalore/Bengaluru,Karnataka + 230 more",77 years old,77 years old,"IT Services & Consulting, Conglomerate, Fortune500, Forbes Global 2000, Public, Bangalore/Bengaluru,Karnataka"
Capgemini,3.8,Public,Paris + 62 more,55 years old,55 years old,"Internet, Analytics / KPO / Research, IT Services & Consulting, Software Product, Forbes Global 2000, Public"
HCL Technologies,3.8,Public,"Noida,Uttar Pradesh + 142 more",46 years old,46 years old,"Financial Services, Consumer Electronics & Appliances, IT Services & Consulting, Software Product, Conglomerate, Fortune500, Forbes Global 2000, Public, Noida,Uttar Pradesh"
Infosys,3.9,Public,"Bangalore/Bengaluru,Karnataka + 107 more",41 years old,41 years old,"IT Services & Consulting, Fortune500, Forbes Global 2000, Public, Bangalore/Bengaluru,Karnataka"
Tech Mahindra,3.7,Public,"Pune,Maharashtra + 156 more",36 years old,36 years old,"Consulting, Analytics / KPO / Research, IT Services & Consulting, Fortune500, Forbes Global 2000, Public, Pune,Maharashtra"
Genpact,4.0,Private,"New York,New York + 51 more",25 years old,25 years old,Analytics / KPO / Research
Axis Bank,3.8,Public,"Mumbai,Maharashtra + 906 more",29 years old,29 years old,"Financial Services, Banking, Fortune500, Forbes Global 2000, Public, Mumbai,Maharashtra"
Vodafone Idea,4.2,Public,"Gandhinagar,Gujrat + 517 more",4 years old,4 years old,"Telecom / ISP, Fortune500, Forbes Global 2000, Public, Gandhinagar,Gujrat"
Reliance jio,4.0,Public,"Navi Mumbai,Maharashtra + 817 more",15 years old,15 years old,"Telecom / ISP, Public, Navi Mumbai,Maharashtra"
L&T,3.9,Public,"Mumbai,Maharashtra + 443 more",84 years old,84 years old,"Engineering & Construction, Industrial Automation, Conglomerate, Fortune500, Forbes Global 2000, Public, Mumbai,Maharashtra"
IBM,4.1,Public,New York + 100 more,111 years old,111 years old,"BPO/KPO, Consulting, Financial Services, Analytics / KPO / Research, BPO / Call Centre, IT Services & Consulting, Software Product, Industrial Automation, Forbes Global 2000, Public"
Concentrix Corpora...,4.1,Public,"Fremont,California + 55 more",39 years old,39 years old,"BPO/KPO, Recruitment / Staffing, BPO / Call Centre, Public"
Amazon,4.2,Private,"Seattle,Washington + 292 more",28 years old,28 years old,"Internet, Retail, Courier / Logistics, IT Services & Consulting, Software Product, Forbes Global 2000"
HDB Financial Serv...,4.0,Private,"Ahmedabad,Gujrat + 640 more",15 years old,15 years old,"Financial Services, NBFC, Ahmedabad,Gujrat"
Kotak Mahindra Ban...,3.9,Public,"Mumbai,Maharashtra + 419 more",19 years old,19 years old,"Financial Services, Banking, Conglomerate, Fortune500, Forbes Global 2000, Public, Mumbai,Maharashtra"
Teleperformance,3.6,Private,Paris + 93 more,44 years old,44 years old,"BPO / Call Centre, IT Services & Consulting, Forbes Global 2000"
Tata Motors,4.1,Public,"Pune,Maharashtra + 349 more",77 years old,77 years old,"Automobile, Manufacturing, Fortune500, Forbes Global 2000, Public, Pune,Maharashtra"
Bharti Airtel,4.1,Public,"Gurgaon/Gurugram,Haryana + 425 more",27 years old,27 years old,"Telecom / ISP, Fortune500, Forbes Global 2000, Public, Gurgaon/Gurugram,Haryana"
Reliance Industrie...,4.0,Public,"Navi Mumbai,Maharashtra + 352 more",49 years old,49 years old,"Manufacturing, Oil / Gas / Petro Chemicals, Power, Textile & Apparel, Oil & Gas, Petrochemical / Plastics / Rubber, Conglomerate, Fortune500, Forbes Global 2000, Public, Navi Mumbai,Maharashtra"
