,Name,Symbol,Price,Market_Cap,Circilating_supply
0,Bitcoin,BTC,"$42,517.17","$805,994,168,941","18,956,912 BTC"
1,Ethereum,ETH,"$2,932.67","$350,642,083,690","119,564,241 ETH"
2,Tether,USDT,$1.00,"$78,466,193,878","78,423,051,214 USDT"
3,BNB,BNB,$404.69,"$66,820,289,295","165,116,761 BNB"
4,USD Coin,USDC,$0.9996,"$52,346,567,643","52,369,492,616 USDC"
5,XRP,XRP,$0.8276,"$39,587,590,756","47,832,461,678 XRP"
6,Cardano,ADA,$1.07,"$35,834,260,210","33,609,494,436 ADA"
7,Solana,SOL,$96.00,"$30,506,578,833","317,765,765 SOL"
8,Terra,LUNA,$53.17,"$21,146,376,133","397,726,794 LUNA"
9,Dogecoin,DOGE,$0.1547,"$20,525,672,273","132,670,764,300 DOGE"
