series_names,release_year,ratings,synopsis,cast,director
On the Verge,2021,60.0,"Four women -- a chef, a single mother, an heiress, and a job seeker -- dig into love, work and...","Julie Delpy, Elisabeth Shue, Sarah Jones, Alexia Landeau","Julie Delpy, Elisabeth Shue, Michael Gentile, Lauraine Heftler"
Anne With an E,2017,53.0,"This reimagining of the classic book and film is a coming-of-age story about a young orphan who is seeking love,...","Amybeth McNulty, R.H. Thomson, Geraldine James, Lucas Jade Zumann","Miranda de Pencier, Elizabeth Bradley, Alison Owen, Debra Hayward"
Derek,2013,60.0,A documentary-style comedy-drama follows a group of people living on the fringe of society. At the group's core is Derek...,"Ricky Gervais, Karl Pilkington, Kerry Godliman, David Earl",Ricky Gervais
Ratched,2020,61.0,A young nurse at a mental institution becomes jaded and bitter before turning into a full-fledged monster to her patients....,"Sarah Paulson, Sharon Stone, Cynthia Nixon, Finn Wittrock","Ryan Murphy, Michael Douglas, Aleen Keshishian, Margaret Riley"
Behind Her Eyes,2021,62.0,A single mother enters a world of twisted mind games when she begins an affair with her psychiatrist boss while...,"Simona Brown, Robert Aramayo, Tyler Howitt, Eve Hewson",Erik Richter Strand
Bloodline,2015,62.0,"From the creators of ""Damages,"" ""Bloodline"" is a dramatic thriller that explores the demons lurking beneath the surface of a...","Kyle Chandler, Sissy Spacek, Linda Cardellini, Norbert Leo Butz","Todd A. Kessler, Daniel Zelman, Glenn Kessler"
White Lines,2020,64.0,"Zoe Walker leaves her quiet life behind to investigate her brother's disappearance in Ibiza, where she heads down a decadent...","Laura Haddock, Daniel Mays, Guillermo Lasheras, Pedro Casablanc","Nick Hamm, Luis Prieto"
Marvel's The Punisher,2017,64.0,"After exacting revenge on the people responsible for the deaths of his wife and children, Frank Castle uncovers a conspiracy...","Jon Bernthal, Ben Barnes, Amber Rose Revah, Jason R. Moore",Steve Lightfoot
The Duchess,2020,65.0,"In London, single mother Katherine juggles her career, her tween daughter and her relationship with her boyfriend -- all while...","Katherine Ryan, Steen Raskopoulos, Kate Byrne, Rory Keenan","Katherine Ryan, Dave Becky, Josh Lieberman, Murray Ferguson"
Lilyhammer,2012,65.0,A mobster-turned-witness moves to Norway hide from his enemies....,"Steven Van Zandt, Trond Fausa Aurvåg, Marian Saastad Ottesen, Steinar Sagen","Geir Henning Hopland, Simen Alsvik, Lisa Marie Gamlem, Øystein Karlsen"
Halston,2021,65.0,Iconic American fashion designer Halston skyrockets to fame before his life starts to spin out of control....,"Ewan McGregor, Bill Pullman, Rebecca Dayan, David Pittu","Ryan Murphy, Alexis Martin Woodall, Ian Brennan, Daniel Minahan"
Disenchantment,2018,65.0,"After tackling modern times with ""The Simpsons"" and the future with ""Futurama,"" producer Matt Groening steps into the past with...","Abbi Jacobson, Nat Faxon, Eric André, John DiMaggio","Matt Groening, Josh Weinstein"
Marco Polo,2014,66.0,"As a youth of 15 or 16, Marco Polo first met his father and uncle and embarked on an epic...","Lorenzo Richelmy, Michelle Yeoh, Benedict Wong, Joan Chen","John Fusco, Dan Minahan, Patrick MacManus, Harvey Weinstein"
Grand Army,2020,67.0,"Five students at the largest public high school in Brooklyn take on a chaotic world as they fight to succeed,...","Odessa A'Zion, Odley Jean, Maliq Johnson, Amalia Yoo","Josh Donen, Beau Willimon, Jordan Tappis"
Killer Inside: The Mind of Aaron Hernandez,2020,67.0,"Through interviews with friends, players and insiders, this docuseries examines how Aaron Hernandez went from an NFL star to a...",,"Angus Wall, Christina Douglas, Dan Wetzel, Kevin Armstrong"
Cursed,2020,67.0,"In a retelling of the Arthurian legend, teenage sorceress Nimue joins forces with a young and charming mercenary named Arthur...","Katherine Langford, Devon Terrell, Gustaf Skarsgård, Peter Mullan","Frank Miller, Thomas Wheeler, Leila Gerstein, Zetna Fuentes"
Fear City: New York vs. the Mafia,2020,68.0,"Five Mafia families controlled New York in the 1970s and '80s, until a group of federal agents work to take...",,"Dimitri Doganis, Adam Hawkins, Jon Liebman, Bart Layton"
Self Made: Inspired by the Life of Madam C.J. Walker,2020,68.0,"A chronicle of the incredible story of Madam C.J. Walker, who was the first African American self-made millionaire....","Octavia Spencer, Tiffany Haddish, Carmen Ejogo, Blair Underwood","Janine Sherman Barrois, Elle Johnson, Maverick Carter, LeBron James"
Love Is Blind,2020,68.0,"Singles try to find a match and fall in love -- without ever seeing each other face-to-face, as emotional connection...","Nick Lachey, Vanessa Lachey","Chris Coelen, Sam Dean, Eric Detwiler, Ally Simpson"
Ginny & Georgia,2021,68.0,Teenage Ginny and her family yearn to put down roots in a picturesque New England town after years on the...,"Antonia Gentry, Brianne Howey, Diesel La Torraca, Jennifer Robertson","Debra J. Fisher, Anya Adams, Jeffrey Tahler, Jenny Daly"
Warrior Nun,2020,68.0,A young woman wakes up in a morgue with inexplicable powers and gets caught up in a battle between good...,"Alba Baptista, Toya Turner, Lorena Andrea, Emilio Sakraya","Simon Barry, Stephen Hegyes"
The Eddy,2020,68.0,A jazz club owner deals with the everyday struggles of running a live music venue in Paris....,"Andre Holland, Joanna Kulig, Amandla Stenberg, Leïla Bekhti",
After Life,2019,64.0,"Tony had a perfect life -- until his wife Lisa died. After that tragic event, the formerly nice guy changed....","Ricky Gervais, Kerry Godliman, Tom Basden, Tony Way","Ricky Gervais, Duncan Hayes"
Pacific Rim: The Black,2021,69.0,"After Kaiju ravage Australia, two siblings pilot a Jaeger to search for their parents, encountering new creatures, characters and allies....","Gideon Adlon, Calum Worthy, Erica Lindbeck, Victoria Grace","Craig Kyle, Greg Johnson"
The Liberator,2020,69.0,"Maverick U.S. Army officer Felix ""Shotgun"" Sparks and his infantry unit fight for more than 500 days to liberate Europe....","Bradley James, Martin Sensmeier, Jose Miguel Vasquez, Billy Breed","Jeb Stuart, Robert Shaye, Michael Lynne, Sarah Victor"
Dark Tourist,2018,70.0,"Most tourists like to visit popular sites and attractions, like beaches, stadiums and museums, while on vacation. There is a...",David Farrier,"Carthew Neal, David Farrier, Mark McNeill"
History of Swear Words,2021,70.0,"Nicolas Cage explores the history, usage and cultural impact of the most notorious swear words in the English language....",Nicolas Cage,"Bellamie Blackstone, Mike Farah, Joe Farrell, Beth Belew"
Marcella,2016,70.0,"Acclaimed writer Hans Rosenfeldt continues his first British drama following the international success of the Swedish/Danish series ""The Bridge."" Anna...","Anna Friel, Ray Panthaki, Nicholas Pinnock, Jack Doolan","Charles Martin, Ashley Pearce, Jonathan Teplitzky"
The Serpent,2021,70.0,"In the 1970s, killer Charles Sobhraj preys on travelers exploring the South Asia's ""hippie trail.""...","Tahar Rahim, Jenna Coleman, Billy Howle, Ellie Bamber","Tom Shankland, Hans Herbots, Richard Warlow, Tom Shankland"
Daybreak,2019,70.0,"Navigating a post-apocalyptic world full of zombies and ""Mad Max""-style gangs, a teenage outcast searches for his lost love....","Matthew Broderick, Krysta Rodriguez, Colin Ford, Sophie Simnett","Michael Patrick Jann, Aron Eli Coleite, Brad Peyton, Jeff Fierson"
Bonding,2019,71.0,"Tiff is a grad student in New York City who is moonlighting as a dominatrix. For Tiff, her sexually explicit...","Zoe Levin, Brendan Scannell, Micah Stock, D'Arcy Carden","Dara Gordon, Jacob Perlin, Nina Soriano, Tom Schembri"
Requiem,2018,71.0,"Matilda Gray, an ambitious musician and talented cellist, has her life suddenly turned upside down when her mother commits suicide....","Lydia Wilson, Joel Fry, James Frecheville, Claire Rushbrook",Mahalia Belo
Troy: Fall of a City,2018,71.0,"Searching for the woman promised to him by Aphrodie, herdsman Paris learns his true identity and falls for Helen of...","Louis Hunter, Jonas Armstrong, Christiaan Schoombie, Carl Beukes","Derek Wax, David Farr, Owen Harris, Christopher Aird"
Safe,2018,71.0,Widowed surgeon Tom has struggled to raise his two daughters alone following his wife's death a year ago. Things seem...,"Michael C. Hall, Amanda Abbington, Emmett J. Scanlan, Audrey Fleurot","Michael C. Hall, Nicola Shindler, Harlan Coben, Danny Brocklehurst"
Wanderlust,2018,71.0,"Written by acclaimed playwright Nick Payne, previously of ""Constellations"" and ""If There Is I Haven't Found It Yet,"" ""Wanderlust"" is...","Toni Collette, Steven Mackintosh, Zawe Ashton, William Ash","Roanna Benn, Jude Liknaitzky, Luke Snellin"
Dracula,2020,71.0,The Count Dracula legend transforms with new tales that flesh out the vampire's gory crimes -- and bring his vulnerability...,"Claes Bang, Dolly Wells, John Heffernan, Joanna Scanlan",Sue Vertue
Designated Survivor,2016,71.0,"As a lower-level cabinet member, Tom Kirkman never imagined something would happen that would catapult him to the oval office....","Kiefer Sutherland, Paulo Costanzo, Adan Canto, Italia Ricci","David Guggenheim, Mark Gordon, Kiefer Sutherland, Simon Kinberg"
Japan Sinks: 2020,2020,72.0,A family is put to the test when a series of massive earthquakes throw Japan into total mayhem....,"Reina Ueda, Tomo Muranaka, Yûko Sasaki, Masaki Terasoma","Masaaki Yuasa, Pyeon-Gang Ho, Hideo Katsumata, Koki Sato"
Everything Sucks!,2018,72.0,"It's the 1990s in Boring, Ore., and groups of outcasts in Boring High School's AV and drama clubs are trying...","Peyton Kennedy, Jahi Winston, Rio Mangini, Quinn Liebling","Ben York Jones, Michael Mohan"
Night Stalker: The Hunt for a Serial Killer,2021,73.0,Young detective Gil Carrillo and legendary homicide investigator Frank Salerno race against the clock to stop a nocturnal monster responsible...,"Gil Carrillo, Frank Salerno","Tiller Russell, Tim Walsh, Eli Holzman, Aaron Saidman"
Watership Down: Miniseries,2018,74.0,,"Nicholas Hoult, John Boyega, Gemma Arterton, Olivia Colman","Rory Aitken, Josh Varney, Ben Pugh, Eleanor Moran"
Locke & Key,2020,74.0,"Following their father's murder, three siblings move into a house filled with reality-bending keys; from the comics by Joe Hill...","Darby Stanchfield, Connor Jessup, Emilia Jones, Jackson Robert Scott","Joe Hill, Carlton Cuse, Meredith Averill, David Ozer"
Arrested Development,2003,74.0,"Michael Bluth finds himself forced to stay in Orange County and run the family real estate business after his father,...","Jason Bateman, Portia de Rossi, Will Arnett, Michael Cera","Ron Howard, Brian Grazer, David Nevins, Mitchell Hurwitz"
DOTA: Dragon's Blood,2021,,Renowned Dragon Knight Davion becomes embroiled in events much larger than he could have ever imagined....,"Yuri Lowenthal, Alix Wilton Regan, Tony Todd, Lara Pulver",Ashley Miller
Altered Carbon,2018,75.0,"More than 300 years in the future, society has been transformed by new technology, leading to human bodies being interchangeable...","Anthony Mackie, Renee Elise Goldsberry, Lela Loren, Simone Missick",Laeta Kalogridis
